question_id,question_txt,question_opt,question_opt_status,table_uid,table_url,table_intro,score,status_evaluate,question
2b6359edb1b352c3,"Who created the series in which the character of Robert , played by actor Nonso Anozie , appeared ?","The series in which the character of Robert, played by actor Nonso Anozie, appeared was created by",success,Nonso_Anozie_1,https://en.wikipedia.org/wiki/Nonso_Anozie,"Nonso Anozie (born 17 November 1978) is a British actor who has worked on stage, film, and television. He is best known for his role as Tank in RocknRolla, Sergeant Dap in Ender's Game, Abraham Kenyatta in Zoo, Captain of the Guards in Cinderella and Xaro Xhoan Daxos in the HBO television series Game of Thrones.",0.9,success,"The series in which the character of Robert, played by actor Nonso Anozie, appeared was created by"
1bd5ee91518dc589,What did the 2nd championship win at the Sevens Grand Prix Series for the team with the most top 4 finishes qualify them for ?,The team with the most top 4 finishes was qualified for what by the 2nd championship win at the Sevens Grand Prix Series?,success,Sevens_Grand_prix_series_0,https://en.wikipedia.org/wiki/Sevens_Grand_Prix_Series,"The Rugby Europe Sevens, whose main division is the Sevens Grand Prix Series, are a series of rugby sevens tournaments held by Rugby Europe. It was formerly known as the FIRA-AER Sevens until 2013, with only one annual tournament prior to 2011, when it was reorganized as a series of tournaments, following the model of the World Rugby Sevens Series, and named the Sevens Grand Prix Series. Rugby Europe also sponsors continental sevens tournaments divided into multiple divisions, incorporating a promotion/relegation system.",0.8,success,The team with the most top 4 finishes was qualified for what by the 2nd championship win at the Sevens Grand Prix Series?
b2fa6dea5e272acc,This 70 's Kishore Kumar song was in a film produced by Alankar Chitra and directed by Shanker Mukherjee ?,This 70's Kishore Kumar song was in a film produced by Alankar Chitra and directed by Shanker Mukherjee.,success,Kishore_Kumar_1,https://en.wikipedia.org/wiki/Kishore_Kumar,"Abhas Kumar Ganguly (born 4 August 1929 - 13 October 1987), better known by his stage name Kishore Kumar (pronunciation (help·info)) was an Indian playback singer, actor, music director, lyricist, writer, director, producer and screenwriter. He is considered as one of the most popular singers of Indian film industry and from soft numbers to peppy tracks to romantic moods, Kumar sang in different genres but some of his rare compositions which were considered classics were lost in time. According to Ashok Kumar, Kumar's success lies in the fact that his voice used to hit the microphone straight at its most sensitive point. Apart from Hindi, he sang in many Indian languages including Bengali, Marathi, Assamese, Gujarati, Kannada, Bhojpuri, Malayalam and Urdu. He has also sung in private albums in several languages especially in Bengali. He won 8 Filmfare Awards for Best Male Playback Singer and holds the record for winning the most Filmfare Awards in that category. He was awarded the Lata Mangeshkar Award by the Madhya Pradesh government in the year 1985-86. In the year 1997, the Madhya Pradesh Government initiated an award called the Kishore Kumar Award as a contribution to Hindi cinema. Recently, Kishore Kumar's unreleased last song was sold for Rs 1560,000 (1.56 million) at the Osian's Cinefan Auction, New Delhi in 2012.",0.9,success,This 70's Kishore Kumar song was in a film produced by Alankar Chitra and directed by Shanker Mukherjee.
24ae33636128ba03,What is the full birth name of the Bradford A.F.C player that only played for the team in 2011 ?,The full birth name of the Bradford A.F.C player that only played for the team in 2011 is,success,Bradford_City_A.F.C._0,https://en.wikipedia.org/wiki/Bradford_City_A.F.C.,"Bradford City Association Football Club is a professional football club in Bradford, West Yorkshire, England. The team compete in League Two, the fourth tier of the English football league system. They are the only professional football club in England to wear claret and amber, and have worn these colours throughout their history. They have though been known by various nicknames, with the Bantams being the most commonly used nickname as it appears on the current club crest. Supporters hold West Yorkshire derby rivalries with Huddersfield Town and Leeds United, as well as an historic Bradford derby rivalry with the now non-league side Bradford (Park Avenue). The club's home ground is the 25,136-capacity Valley Parade, which was the site of the Bradford City stadium fire on 11 May 1985, which took the lives of 56 supporters. The club was founded in 1903 and immediately elected into the Football League Second Division. Promotion to the top tier followed as they won the 1907-08 Second Division title and then they went on to win the 1911 FA Cup Final, which remains the club's only major honour. They were relegated in 1922 and again in 1927, before winning the Third Division North title in 1928-29. Another relegation in 1937 did allow the club to go on to win the Third Division North Cup in 1939, however a further relegation followed in 1962 to leave the club in the newly created Fourth Division. They secured promotions back into the third tier in 1969 and 1977, but were relegated in 1972 and 1978. They found success in the 1980s under the stewardship of first Roy McFarland and then Trevor Cherry, winning promotion in 1981-82 and following this up with the Third Division title in 1984-85, though they were relegated out of the Second Division in 1990.",0.8,success,The full birth name of the Bradford A.F.C player that only played for the team in 2011 is
25019a7623f4ad5e,How many academic staff are at the university in Budapest that has the official abbreviation BME ?,The university in Budapest that has the official abbreviation BME has how many academic staff?,success,Budapest_0,https://en.wikipedia.org/wiki/Budapest,"Budapest (/ˈbuːdəpɛst/, Hungarian pronunciation: [ˈbudɒpɛʃt]) is the capital and the most populous city of Hungary, and the ninth-largest city in the European Union by population within city limits. The city has an estimated population of 1,752,286 over a land area of about 525 square kilometres (203 square miles). Budapest is both a city and county, and forms the centre of the Budapest metropolitan area, which has an area of 7,626 square kilometres (2,944 square miles) and a population of 3,303,786, comprising 33% of the population of Hungary. The history of Budapest began when an early Celtic settlement transformed into the Roman town of Aquincum, the capital of Lower Pannonia. The Hungarians arrived in the territory in the late 9th century, but the area was pillaged by the Mongols in 1241-42. Re-established Buda became one of the centres of Renaissance humanist culture by the 15th century. The Battle of Mohács, in 1526, was followed by nearly 150 years of Ottoman rule. After the reconquest of Buda in 1686, the region entered a new age of prosperity, with Pest-Buda becoming a global city after the unification of Buda, Óbuda, and Pest on 17 November 1873, with the name 'Budapest' given to the new capital. Budapest also became the co-capital of the Austro-Hungarian Empire, a great power that dissolved in 1918, following World War I. The city was the focal point of the Hungarian Revolution of 1848, the Battle of Budapest in 1945, and the Hungarian Revolution of 1956. Budapest is an Alpha − global city with strengths in commerce, finance, media, art, fashion, research, technology, education, and entertainment. It is Hungary's financial centre and was ranked as the second fastest-developing urban economy in Europe.",0.8,success,The university in Budapest that has the official abbreviation BME has how many academic staff?
a1d6704c2b0c48bc,The 1995 Tooheys 1000 driver who was second-to-last in the Tooheys Top 10 was born where ?,The 1995 Tooheys 1000 driver who was second-to-last in the Tooheys Top 10 was born in,success,1995_Tooheys_1000_0,https://en.wikipedia.org/wiki/1995_Tooheys_1000,"The 1995 Tooheys 1000 was the 36th running of the Bathurst 1000 touring car race. It was held on 1 October 1995, at the Mount Panorama Circuit just outside Bathurst. The race was held for cars eligible under CAMS Group 3A 5.0 Litre Touring Car regulations, that later became known as V8Supercars. This was the first Bathurst 1000 to be contested by single class. With only 32 cars on the starting grid it was the smallest field for the race since only 48 cars faced the starter for the 1988 Tooheys 1000. This was attributed to the fact that the race was run only for the outright class 5.0 Litre Touring Cars with no small car categories running for the first time in the history of the race going back to the 1960 Armstrong 500 at Phillip Island in Victoria. Larry Perkins and Russell Ingall driving the #11 Castrol Commodore won the 1995 Tooheys 1000 in what was literally a last to first effort. Perkins clashed with the slow starting HRT Commodore of pole sitter Craig Lowndes before the first turn which pulled the valve out of a tyre forcing him to fall from third to last on the first lap before pitting to replace the tyre. The duo started to climb back up into contention, helped by cars ailing to go the race distance and Safety car periods including once after having just un-lapped themselves and were back in the top 5 with 20 laps to go. Following the last Safety car, Perkins set about hauling in the leaders. He passed Neil Crompton's Coke Commodore and the Peter Jackson Falcon of Alan Jones to move into second place about 7 seconds behind the Falcon of Jones' team leader Glenn Seton. Then going across the top of the mountain on lap 151, Seton's engine, built by the teams chief engine builder and Glenn's dad Barry Seton dropped a valve.",0.9,success,The 1995 Tooheys 1000 driver who was second-to-last in the Tooheys Top 10 was born in
d76b0d98f72a7526,What is the capacity of the home grounds of the club a player transfered from Arsenal FC to FC Dordecht ?,The capacity of the home grounds of the club a player transfered from Arsenal FC to FC Dordecht is,success,2015–16_Arsenal_F.C._season_2,https://en.wikipedia.org/wiki/2015–16_Arsenal_F.C._season,"The 2015-16 season was Arsenal's 24th season in the Premier League and 96th consecutive season in the top flight of English football. The club entered the season as the FA Cup holders, and participated in the Premier League, FA Cup, League Cup, Community Shield and the UEFA Champions League. Arsenal were favourites to get their first league title since 2004, having been league-leaders towards the New Year, but a loss of form which included successive defeats to Manchester United and Swansea City saw them lose ground on eventual winners Leicester City, although they recovered to get 2nd, their highest finish in 11 years. Arsenal's attempt of winning a third consecutive FA Cup was unsuccessful, losing to Watford at the quarter-final stage, as well as exiting in the League Cup fourth round to Sheffield Wednesday. In Europe, Arsenal recovered from a poor start to qualify for the knockout-stages, but they were defeated in both legs against Barcelona. The season covers the period from 1 July 2015 to 30 June 2016.",0.2,success,What is the capacity of the home grounds of the club a player transfered from Arsenal FC to FC Dordecht ?
b5cfc92181b6511b,What is the full name of the person who is a NYU prize winner alumnus associated with ARTS ?,The full name of the person who is a NYU prize winner alumnus associated with ARTS is,success,List_of_New_York_University_alumni_22,https://en.wikipedia.org/wiki/List_of_New_York_University_alumni,"New York University (NYU) is one of the world's premier residential research and teaching institutions. This partial list of notable New York University alumni includes a sampling of the many graduates who are leaders in their respective fields, non-graduate former students, fictional students, and current students of New York University. The list is abridged - only a representative few are listed. NYU ranks 7th among the World's top 100 universities for producing millionaires, as compiled by Times Higher Education World University Rankings. NYU ranks 5th globally among universities with the highest number of alumni worth $30 million or more, as compiled by ABC News. CNBC ranks NYU 4th globally among universities with the most billionaire graduates. National Academy of Inventors ranks NYU 19th in the world based on the number of patents generated. In 2016, a study based on a computerized analysis of the number of times institutions of higher education are mentioned in Wikipedia and the number of times people search for them on Google, ranked NYU #19 among all universities in the world. NYU also is the second top feeder school for analyst careers in finance and investment banking, after University of Pennsylvania, on Wall Street.",0.8,success,The full name of the person who is a NYU prize winner alumnus associated with ARTS is
f9575f412a27c3dd,What position does 2009–10 season Vancouver Canucks player Rob Davison currently hold with the Toronto Marlies ?,2009–10 season Vancouver Canucks player Rob Davison currently holds the position with the Toronto Marlies.,success,2009–10_Vancouver_Canucks_season_14,https://en.wikipedia.org/wiki/2009–10_Vancouver_Canucks_season,The 2009-10 Vancouver Canucks season was the team's 40th season in the National Hockey League (NHL).,1.0,success,2009–10 season Vancouver Canucks player Rob Davison currently holds the position with the Toronto Marlies.
0190463339d6f441,What is the best known song sung by the couple celebrity paired with Jonathan Roberts during the season 5 of Dancing with the Stars in america ?,The best known song sung by the couple celebrity paired with Jonathan Roberts during the season 5 of Dancing with the Stars in america is,success,Dancing_with_the_Stars_U.S._season_5_0,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_5),"Season five of Dancing with the Stars premiered on September 24, 2007 with a special three-night premiere week, on the ABC network. As with previous seasons, CTV Television Network had aired the series in Canada. On November 27, 2007, Indy 500 driver Hélio Castroneves and Julianne Hough were announced the winners, marking the second win for Hough.",1.0,success,The best known song sung by the couple celebrity paired with Jonathan Roberts during the season 5 of Dancing with the Stars in america is
